2016,"Alcohol, abstainers lifetime (%)",,,abstainers 12 month,,,"Alcohol, consumers past 12 months (%)",,,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized with 95%CI",,
Country, Both sexes, Male, Female, Both sexes, Male, Female, Both sexes, Male, Female, Both sexes, Male, Female
Rwanda,48.8,33.2,62.4,65,51.6,76.6,35,48.4,23.4,17.9 [16.6-19.1],30.9 [29.1-32.7],6.9 [6.1-7.7]
Saint Kitts and Nevis,22.8,12.5,33,45.2,31.4,58.7,54.8,68.6,41.3,28.7 [26.2-31.1],44.7 [41.6-47.7],12.7 [11-14.6]
Saint Lucia,26,14.5,36.9,50.3,36.1,63.7,49.7,63.9,36.3,25.4 [23.1-27.6],40.7 [37.7-43.6],10.7 [9.2-12.3]
Saint Vincent and the Grenadines,29,16.9,41.3,53.4,39.7,67.2,46.6,60.3,32.8,22.8 [20.8-24.9],36.6 [33.7-39.4],8.7 [7.5-10.1]
Samoa,63.1,49.7,77.4,84,77.1,91.5,16,22.9,8.5,9.9 [9.2-10.5],16.1 [15.2-17],3.1 [2.7-3.5]
San Marino,.,.,.,No data,No data,No data,.,.,.,.,.,.
Sao Tome and Principe,60,48,71.8,66,No data,78.5,34,46.8,21.5,13.9 [12.6-15.2],23.9 [21.9-26],4.1 [3.6-4.8]
Saudi Arabia,93.4,91.4,96.1,94.2,92.7,96.5,5.8,7.3,3.5,0.2 [0.1-0.2],0.2 [0.2-0.3],0 [0-0]
Senegal,74.3,64.4,83.4,78.9,69.6,87.5,21.1,30.4,12.5,6.4 [5.6-7.2],11.7 [10.4-13.1],1.5 [1.3-1.8]
Serbia,17.9,9.1,26,40,26.2,53,60,73.8,47,32.9 [30-35.7],50 [46.4-53.4],15.8 [13.6-18.2]
Seychelles,23.2,12.7,33.8,45.1,31.3,59.1,54.9,68.7,40.9,26 [23.6-28.3],40.8 [37.5-43.9],10.5 [9.1-12.2]
Sierra Leone,63.5,52.1,74.6,69.1,56.9,80.8,30.9,43.1,19.2,12 [10.8-13.2],21 [19.1-22.8],3.4 [2.9-3.9]
Singapore,6.7,3.1,10.2,30,18.3,41.2,70,81.7,58.8,32.2 [26.8-37.6],49.2 [42.2-55.7],15.5 [11.7-19.9]
Slovakia,11.6,5.6,17.4,30.8,18.4,42.3,71.3,82.9,60,39.2 [35.9-42.4],57.5 [53.7-61],21.3 [18.5-24.3]
Slovenia,67.7,55,80.6,28.7,17.1,40,13.5,19.7,7.3,42.3 [39-45.6],60.3 [56.6-63.7],23.7 [20.7-26.9]
Solomon Islands,97.1,95.5,98.7,86.5,80.3,92.7,0.7,1.1,0.3,7.8 [7.2-8.3],13.2 [12.4-14],2.4 [2.1-2.7]
Somalia,53.5,38.3,68,99.3,98.9,99.7,31,43.2,19.4,0 [0-0.1],0.1 [0.1-0.1],0 [0-0]
South Africa,,,,69,56.8,80.6,,,,17.7 [16.2-19.1],29.3 [27.2-31.1],6.6 [5.7-7.6]
South Sudan,.,.,.,No data,53.2,No data,.,.,.,.,.,.
Spain,13.6,6.6,20.1,31.4,19.1,43,68.6,80.9,57,29.7 [27.3-32],45.8 [42.7-48.8],13.5 [12-15.2]
Sri Lanka,48.3,32.6,62.4,71.3,59.4,82.1,28.7,40.6,17.9,9.7 [8.7-10.7],17.3 [15.7-19],2.6 [2.3-3]
Sudan,95.2,92.7,97.8,97.7,96.6,98.9,2.3,3.4,1.1,0.4 [0.3-0.5],0.7 [0.5-0.9],0.1 [0-0.1]
Suriname,34.1,20.7,47.4,57.8,44.2,71.3,42.2,55.8,28.7,18.9 [17-20.7],31.1 [28.4-33.8],6.5 [5.6-7.6]
Sweden,11.6,5.7,17.5,27,16.1,37.8,73,83.9,62.2,32.4 [30-34.9],48.9 [45.7-52],15.5 [13.8-17.4]
Switzerland,7.5,3.5,11.4,18.8,10.4,27,81.2,89.6,73,39.9 [37-42.8],57.7 [54.3-61],22 [19.5-24.6]
Syrian Arab Republic,97.7,96.2,99.2,98,96.6,99.3,2,3.4,0.7,0 [0-0.1],0.1 [0.1-0.1],0 [0-0]
Tajikistan,53.8,39.1,68.6,79.3,70.4,88.2,20.7,29.6,11.8,7.9 [7.2-8.7],13.9 [12.6-15.2],2 [1.7-2.3]
